variable,mean,mad,2.5%,97.5%,model
beta_mortality,1.32712098625,0.04064547899999995,1.24699825,1.4100399999999997,U5MR
beta_trt,-0.324375851256925,0.11173466640000002,-0.540713975,-0.10873870000000002,U5MR
beta_trt_mortality,-0.094314458118675,0.04970001372,-0.192167625,0.003627459249999953,U5MR
beta_mortality,1.5254500425,0.05260264799999993,1.4222295,1.62930425,IMR
beta_trt,-0.41067748841225,0.16611421049999997,-0.7427869,-0.08357309000000031,IMR
beta_trt_mortality,-0.10295661020998124,0.057182028749999995,-0.21529445,0.009747725749999919,IMR
